Serial No.,Name of the Apartment,Coordinates x,coordinates y
361,"Excel Mall, K.S. Rao Road, Mangaluru",12.869657,74.841421
362,"Excel Mischief Mall, K. S. Rao Road",12.870119,74.841394
363,Exotica S.C.S. Hospital Road,12.874610,74.854124
364,"Exotica, Ksrtc To Bondel Road",12.874001,74.854129
366,"Falnir Health Center, Falnir (Commercial)",12.867567,74.853085
367,"Falnir Residency, Coelho Road Near St.. Mary School",12.865472,74.851600
368,Falnir Terreces S.L Mathias Road,12.864806,74.851904
369,"Falnir Towers, Falnir Road",12.868469,74.851391
370,"Fantasy ( R) Karangalpady, Mangaluru",12.876228,74.845443
371,"Fathima Gardens , Old Kent Rd, Mangaluru",12.857194,74.842031
372,"Febal Emprise, Adarsh Nagar, Morgans Gate",12.848617,74.853606
373,Felicity 1&2 ( Residential) Bejai New Road,12.887296,74.846335
374,Fern Hill Nanthoor,12.875156,74.861655
375,"Fernitz Apt, Kalpana Road",12.877809,74.857618
376,"Fortuna Naguri, Kankanady Mnagaluru",12.870941,74.879258
377,Fortuna Pride,12.892971,74.837959
378,"Fortune Streak, Bendoorwell",12.872394,74.853179
379,"Fortune, Falnir Rd, Mangaluru",12.868037,74.850528
380,"Fred Apt, Kulur Ferry Road",12.880709,74.833643
381,"Fredrose Enclave, Valencia Left A Cross Road",12.864565,74.859896
382,"G M Abode, Souterpete 3Rd Cross Road",12.860550,74.861261
383,G.M Homes Bekakar Lane Road,12.845502,74.843667
384,"Gagan Deep Bejai New Cross Road, Kuntikana Road",12.892405,74.839590
385,"Galaxy ( R) Arya Samaj Road, Mangaluru",12.875900,74.851743
386,Gallary Apt.,12.870667,74.881008
387,"Gandhi Sons Bulding, Azizuddin Main Road",12.867523,74.833396
388,"Ganesh Mahal Complex, Ks Rao Road",12.872993,74.841832
389,Ganesh Prasad Tt Road,12.870273,74.841673
391,Ganga Yamuna Mukya Prana Temple Road,12.877221,74.874065
393,"Gardens A Block ,Bejai, Mangaluru",12.892976,74.839477
394,"Gem Castle, Ashok Nagara Side Road",12.898722,74.833066
395,"Gerosa Mansion, Jeppu Majila 4Th Cross Road",12.861945,74.858503
396,"Global Avenue, Bajjodi To Bikarnakatte Cross Road",12.884002,74.866998
397,Global Court Next To Aj Hospital,12.896410,74.847525
398,"Global Pride , Lalbagh, Mangaluru",12.883901,74.839653
399,"Glory Apartment, Urwa Store, Mangaluru",12.901682,74.838252
401,"Godrej Alpine, Ksrtc Bondel Road",12.901403,74.859888
